N,k,inf_rate,model,max_inf,t_max
1000.0,2.0,0.1,0,14,78
1000.0,2.0,0.1,1,9,14
1000.0,2.0,0.1,2,8,20
1000.0,2.0,0.1,3,9,15
1000.0,2.0,0.1,4,7,16
1000.0,2.0,0.1,5,11,14
1000.0,2.0,0.1,6,12,22
1000.0,2.0,0.1,7,6,16
1000.0,2.0,0.1,8,4,3
1000.0,2.0,0.1,9,5,4
1000.0,2.0,0.1,10,10,54
1000.0,2.0,0.1,11,9,20
1000.0,2.0,0.1,12,11,18
1000.0,2.0,0.1,13,12,18
1000.0,2.0,0.1,14,8,25
1000.0,2.0,0.1,15,6,16
1000.0,2.0,0.1,16,6,12
1000.0,2.0,0.1,17,8,16
1000.0,2.0,0.1,18,7,34
1000.0,2.0,0.1,19,12,25
1000.0,2.0,0.1,20,13,38
1000.0,2.0,0.1,21,7,13
1000.0,2.0,0.1,22,11,14
1000.0,2.0,0.1,23,8,11
1000.0,2.0,0.1,24,14,36
1000.0,2.0,0.1,25,8,5
1000.0,2.0,0.1,26,9,41
1000.0,2.0,0.1,27,12,26
1000.0,2.0,0.1,28,9,19
1000.0,2.0,0.1,29,9,30
1000.0,2.0,0.1,30,5,10
1000.0,2.0,0.1,31,8,10
1000.0,2.0,0.1,32,5,13
1000.0,2.0,0.1,33,13,20
1000.0,2.0,0.1,34,7,23
1000.0,2.0,0.1,35,7,15
1000.0,2.0,0.1,36,12,21
1000.0,2.0,0.1,37,13,20
1000.0,2.0,0.1,38,16,19
1000.0,2.0,0.1,39,12,26
1000.0,2.0,0.1,40,11,11
1000.0,2.0,0.1,41,10,18
1000.0,2.0,0.1,42,10,13
1000.0,2.0,0.1,43,10,14
1000.0,2.0,0.1,44,3,3
1000.0,2.0,0.1,45,9,37
1000.0,2.0,0.1,46,14,26
1000.0,2.0,0.1,47,12,20
1000.0,2.0,0.1,48,8,13
1000.0,2.0,0.1,49,10,18
1000.0,2.0,0.1,50,15,20
1000.0,2.0,0.1,51,6,9
1000.0,2.0,0.1,52,5,12
1000.0,2.0,0.1,53,11,38
1000.0,2.0,0.1,54,9,43
1000.0,2.0,0.1,55,9,23
1000.0,2.0,0.1,56,13,21
1000.0,2.0,0.1,57,8,29
1000.0,2.0,0.1,58,7,16
1000.0,2.0,0.1,59,8,27
1000.0,2.0,0.1,60,10,15
1000.0,2.0,0.1,61,7,14
1000.0,2.0,0.1,62,14,21
1000.0,2.0,0.1,63,9,26
1000.0,2.0,0.1,64,12,53
1000.0,2.0,0.1,65,8,19
1000.0,2.0,0.1,66,10,61
1000.0,2.0,0.1,67,7,15
1000.0,2.0,0.1,68,7,19
1000.0,2.0,0.1,69,8,12
1000.0,2.0,0.1,70,10,17
1000.0,2.0,0.1,71,13,23
1000.0,2.0,0.1,72,11,16
1000.0,2.0,0.1,73,9,15
1000.0,2.0,0.1,74,9,18
1000.0,2.0,0.1,75,6,35
1000.0,2.0,0.1,76,13,20
1000.0,2.0,0.1,77,13,29
1000.0,2.0,0.1,78,11,17
1000.0,2.0,0.1,79,6,14
1000.0,2.0,0.1,80,6,19
1000.0,2.0,0.1,81,13,20
1000.0,2.0,0.1,82,8,16
1000.0,2.0,0.1,83,15,24
1000.0,2.0,0.1,84,9,15
1000.0,2.0,0.1,85,12,23
1000.0,2.0,0.1,86,10,62
1000.0,2.0,0.1,87,6,13
1000.0,2.0,0.1,88,9,12
1000.0,2.0,0.1,89,7,22
1000.0,2.0,0.1,90,7,57
1000.0,2.0,0.1,91,13,28
1000.0,2.0,0.1,92,6,19
1000.0,2.0,0.1,93,6,16
1000.0,2.0,0.1,94,6,41
1000.0,2.0,0.1,95,10,21
1000.0,2.0,0.1,96,6,19
1000.0,2.0,0.1,97,12,24
1000.0,2.0,0.1,98,9,28
1000.0,2.0,0.1,99,9,25
1000.0,2.0,0.2,0,13,31
1000.0,2.0,0.2,1,15,21
1000.0,2.0,0.2,2,16,20
1000.0,2.0,0.2,3,17,24
1000.0,2.0,0.2,4,10,52
1000.0,2.0,0.2,5,13,39
1000.0,2.0,0.2,6,15,19
1000.0,2.0,0.2,7,11,19
1000.0,2.0,0.2,8,12,50
1000.0,2.0,0.2,9,15,34
1000.0,2.0,0.2,10,13,15
1000.0,2.0,0.2,11,24,48
1000.0,2.0,0.2,12,16,22
1000.0,2.0,0.2,13,22,22
1000.0,2.0,0.2,14,19,93
1000.0,2.0,0.2,15,23,27
1000.0,2.0,0.2,16,22,26
1000.0,2.0,0.2,17,18,19
1000.0,2.0,0.2,18,24,107
1000.0,2.0,0.2,19,11,18
1000.0,2.0,0.2,20,25,21
1000.0,2.0,0.2,21,23,22
1000.0,2.0,0.2,22,17,25
1000.0,2.0,0.2,23,21,107
1000.0,2.0,0.2,24,16,17
1000.0,2.0,0.2,25,19,42
1000.0,2.0,0.2,26,24,76
1000.0,2.0,0.2,27,25,29
1000.0,2.0,0.2,28,19,40
1000.0,2.0,0.2,29,21,27
1000.0,2.0,0.2,30,20,19
1000.0,2.0,0.2,31,30,72
1000.0,2.0,0.2,32,16,38
1000.0,2.0,0.2,33,17,21
1000.0,2.0,0.2,34,23,66
1000.0,2.0,0.2,35,23,70
1000.0,2.0,0.2,36,17,22
1000.0,2.0,0.2,37,16,20
1000.0,2.0,0.2,38,24,41
1000.0,2.0,0.2,39,10,17
1000.0,2.0,0.2,40,22,25
1000.0,2.0,0.2,41,18,54
1000.0,2.0,0.2,42,31,62
1000.0,2.0,0.2,43,10,9
1000.0,2.0,0.2,44,19,26
1000.0,2.0,0.2,45,16,26
1000.0,2.0,0.2,46,21,37
1000.0,2.0,0.2,47,21,30
1000.0,2.0,0.2,48,19,25
1000.0,2.0,0.2,49,17,15
1000.0,2.0,0.2,50,20,18
1000.0,2.0,0.2,51,21,26
1000.0,2.0,0.2,52,19,34
1000.0,2.0,0.2,53,10,61
1000.0,2.0,0.2,54,19,20
1000.0,2.0,0.2,55,16,28
