N,k,inf_rate,max_inf(max),max_inf(mean),t_max(max),t_max(mean)
1000,2,0.1,16.0,9.32,78.0,22.24
1000,2,0.2,31.0,18.11,142.0,35.89
1000,2,0.3,41.0,28.38,290.0,56.13
1000,2,0.4,48.0,36.03,301.0,61.71
1000,2,0.5,58.0,45.78,208.0,61.33
1000,2,0.6,68.0,54.27,238.0,69.82
1000,2,0.7,75.0,60.24,337.0,62.56
1000,2,0.8,85.0,69.25,246.0,59.93
1000,2,0.9,88.0,75.46,235.0,58.29
1000,2,1.0,95.0,81.77,299.0,52.85
1000,3,0.1,1110.0,765.23,336.0,273.98
1000,3,0.2,2096.0,1435.19,171.0,144.02
1000,3,0.3,2956.0,1976.11,125.0,103.83
1000,3,0.4,3643.0,2403.71,101.0,82.99
1000,3,0.5,3882.0,2766.05,83.0,71.56
1000,3,0.6,4485.0,3147.43,74.0,65.2
1000,3,0.7,4695.0,3390.78,76.0,58.28
1000,3,0.8,5087.0,3537.56,69.0,56.25
1000,3,0.9,5121.0,3627.77,61.0,53.07
1000,3,1.0,5102.0,3674.56,66.0,53.05
1000,4,0.1,1251.0,891.14,337.0,194.8
1000,4,0.2,2206.0,1533.67,240.0,115.84
1000,4,0.3,2837.0,2077.44,156.0,84.38
1000,4,0.4,3503.0,2430.62,127.0,68.73
1000,4,0.5,3620.0,2750.68,126.0,65.72
1000,4,0.6,3809.0,2906.24,94.0,59.41
1000,4,0.7,4011.0,3083.32,107.0,56.36
1000,4,0.8,4099.0,3144.42,90.0,53.32
1000,4,0.9,4188.0,3103.17,99.0,53.93
1000,4,1.0,4122.0,3113.1,96.0,53.51
1000,6,0.1,2560.0,1816.7,148.0,120.37
1000,6,0.2,3993.0,2992.37,87.0,74.33
1000,6,0.3,4802.0,3739.83,71.0,59.53
1000,6,0.4,5414.0,4135.85,68.0,52.3
1000,6,0.5,5741.0,4399.2,58.0,48.68
1000,6,0.6,6063.0,4732.35,57.0,46.57
1000,6,0.7,6272.0,4793.74,57.0,44.89
1000,6,0.8,6319.0,4924.85,56.0,43.35
1000,6,0.9,6353.0,4977.64,55.0,43.66
1000,6,1.0,6327.0,5091.72,53.0,42.98
1000,8,0.1,2726.0,1884.27,183.0,93.03
1000,8,0.2,3905.0,2909.22,105.0,60.91
1000,8,0.3,4742.0,3467.86,105.0,52.06
1000,8,0.4,5130.0,3774.86,84.0,47.42
1000,8,0.5,5406.0,4012.65,81.0,44.88
1000,8,0.6,5546.0,4121.87,70.0,42.23
1000,8,0.7,5628.0,4161.28,82.0,44.38
1000,8,0.8,5550.0,4242.35,74.0,42.14
1000,8,0.9,5603.0,4079.24,75.0,42.27
1000,8,1.0,5505.0,4082.74,82.0,43.36
10000,2,0.1,,,,
10000,2,0.2,,,,
10000,2,0.3,,,,
10000,2,0.4,,,,
10000,2,0.5,,,,
10000,2,0.6,,,,
10000,2,0.7,,,,
10000,2,0.8,,,,
10000,2,0.9,,,,
10000,2,1.0,,,,
10000,3,0.1,,,,
10000,3,0.2,,,,
10000,3,0.3,,,,
10000,3,0.4,,,,
10000,3,0.5,,,,
10000,3,0.6,,,,
10000,3,0.7,,,,
10000,3,0.8,,,,
10000,3,0.9,,,,
10000,3,1.0,,,,
10000,4,0.1,,,,
10000,4,0.2,,,,
10000,4,0.3,,,,
10000,4,0.4,,,,
10000,4,0.5,,,,
10000,4,0.6,,,,
10000,4,0.7,,,,
10000,4,0.8,,,,
10000,4,0.9,,,,
10000,4,1.0,,,,
10000,6,0.1,,,,
10000,6,0.2,,,,
10000,6,0.3,,,,
10000,6,0.4,,,,
10000,6,0.5,,,,
10000,6,0.6,,,,
10000,6,0.7,,,,
10000,6,0.8,,,,
10000,6,0.9,,,,
10000,6,1.0,,,,
10000,8,0.1,,,,
10000,8,0.2,,,,
10000,8,0.3,,,,
10000,8,0.4,,,,
10000,8,0.5,,,,
10000,8,0.6,,,,
10000,8,0.7,,,,
10000,8,0.8,,,,
10000,8,0.9,,,,
10000,8,1.0,,,,
